[2022-05-04 04:11:06,456][run.py][line:113][INFO] start training on GPU 0!
[2022-05-04 04:11:06,457][run.py][line:114][INFO] Namespace(bert_model_dir='', bert_tokenizer_dir='', bert_dim=1024, hidden_dim=300, mlp_layers=2, gnn_layers=3, emb_dim=1024, attn_type='rgcn', no_rel_attn=False, max_sent_len=200, no_cuda=False, dataset_name='DailyDialog', windowp=1, windowf=0, max_grad_norm=5.0, lr=2e-05, dropout=0.3, batch_size=64, epochs=50, tensorboard=False, nodal_att_type=None, cuda=True)
[2022-05-04 04:13:19,616][run.py][line:154][INFO] Epoch: 1, train_loss: 0.5822, train_acc: 89.55, train_micro_fscore: 64.73, train_macro_fscore: 30.21, valid_loss: 0.3131, valid_acc: 91.06, valid_micro_fscore: 60.02, valid_macro_fscore: 36.41, test_loss: 0.5142, test_acc: 86.01, test_micro_fscore: 56.35, test_macro_fscore: 36.0, time: 65.18 sec
[2022-05-04 04:22:26,942][run.py][line:154][INFO] Epoch: 12, train_loss: 0.1332, train_acc: 95.4, train_micro_fscore: 85.29, train_macro_fscore: 75.04, valid_loss: 0.2807, valid_acc: 91.28, valid_micro_fscore: 61.18, valid_macro_fscore: 45.9, test_loss: 0.4917, test_acc: 86.18, test_micro_fscore: 58.2, test_macro_fscore: 53.36, time: 48.74 sec
[2022-05-04 04:23:15,421][run.py][line:154][INFO] Epoch: 13, train_loss: 0.1327, train_acc: 95.47, train_micro_fscore: 85.53, train_macro_fscore: 75.32, valid_loss: 0.2862, valid_acc: 91.06, valid_micro_fscore: 61.33, valid_macro_fscore: 47.77, test_loss: 0.4959, test_acc: 86.05, test_micro_fscore: 58.25, test_macro_fscore: 52.32, time: 48.48 sec
[2022-05-04 04:24:04,961][run.py][line:154][INFO] Epoch: 14, train_loss: 0.1311, train_acc: 95.47, train_micro_fscore: 85.57, train_macro_fscore: 76.12, valid_loss: 0.2813, valid_acc: 90.97, valid_micro_fscore: 61.81, valid_macro_fscore: 48.06, test_loss: 0.4808, test_acc: 85.96, test_micro_fscore: 58.87, test_macro_fscore: 52.67, time: 49.54 sec
[2022-05-04 04:24:54,698][run.py][line:154][INFO] Epoch: 15, train_loss: 0.131, train_acc: 95.51, train_micro_fscore: 85.67, train_macro_fscore: 76.46, valid_loss: 0.2749, valid_acc: 91.46, valid_micro_fscore: 60.72, valid_macro_fscore: 46.96, test_loss: 0.4937, test_acc: 86.27, test_micro_fscore: 56.96, test_macro_fscore: 52.3, time: 49.74 sec
[2022-05-04 04:25:43,296][run.py][line:154][INFO] Epoch: 16, train_loss: 0.1306, train_acc: 95.51, train_micro_fscore: 85.6, train_macro_fscore: 76.42, valid_loss: 0.2844, valid_acc: 91.04, valid_micro_fscore: 61.53, valid_macro_fscore: 46.35, test_loss: 0.496, test_acc: 86.05, test_micro_fscore: 58.73, test_macro_fscore: 53.12, time: 48.6 sec
[2022-05-04 04:26:34,345][run.py][line:154][INFO] Epoch: 17, train_loss: 0.1297, train_acc: 95.49, train_micro_fscore: 85.67, train_macro_fscore: 76.26, valid_loss: 0.2821, valid_acc: 91.31, valid_micro_fscore: 61.51, valid_macro_fscore: 47.81, test_loss: 0.4954, test_acc: 86.18, test_micro_fscore: 58.21, test_macro_fscore: 52.58, time: 51.05 sec
[2022-05-04 04:27:21,934][run.py][line:154][INFO] Epoch: 18, train_loss: 0.1296, train_acc: 95.5, train_micro_fscore: 85.63, train_macro_fscore: 76.36, valid_loss: 0.2866, valid_acc: 90.94, valid_micro_fscore: 61.89, valid_macro_fscore: 48.36, test_loss: 0.4802, test_acc: 85.9, test_micro_fscore: 58.95, test_macro_fscore: 53.32, time: 47.59 sec
[2022-05-04 04:28:13,262][run.py][line:154][INFO] Epoch: 19, train_loss: 0.1288, train_acc: 95.56, train_micro_fscore: 85.8, train_macro_fscore: 76.22, valid_loss: 0.2781, valid_acc: 91.44, valid_micro_fscore: 61.18, valid_macro_fscore: 46.85, test_loss: 0.4861, test_acc: 86.29, test_micro_fscore: 57.62, test_macro_fscore: 51.92, time: 51.33 sec
[2022-05-04 04:29:03,197][run.py][line:154][INFO] Epoch: 20, train_loss: 0.1283, train_acc: 95.55, train_micro_fscore: 85.8, train_macro_fscore: 77.01, valid_loss: 0.2814, valid_acc: 91.44, valid_micro_fscore: 61.44, valid_macro_fscore: 47.68, test_loss: 0.4956, test_acc: 86.4, test_micro_fscore: 58.16, test_macro_fscore: 53.88, time: 49.93 sec
[2022-05-04 04:29:53,116][run.py][line:154][INFO] Epoch: 21, train_loss: 0.1271, train_acc: 95.59, train_micro_fscore: 85.88, train_macro_fscore: 76.5, valid_loss: 0.291, valid_acc: 90.89, valid_micro_fscore: 61.74, valid_macro_fscore: 48.23, test_loss: 0.4987, test_acc: 86.01, test_micro_fscore: 59.17, test_macro_fscore: 53.39, time: 49.92 sec
[2022-05-04 04:30:44,981][run.py][line:154][INFO] Epoch: 22, train_loss: 0.1274, train_acc: 95.6, train_micro_fscore: 85.97, train_macro_fscore: 77.07, valid_loss: 0.2825, valid_acc: 91.34, valid_micro_fscore: 61.54, valid_macro_fscore: 47.81, test_loss: 0.4959, test_acc: 86.29, test_micro_fscore: 58.38, test_macro_fscore: 52.81, time: 51.87 sec
[2022-05-04 04:31:35,709][run.py][line:154][INFO] Epoch: 23, train_loss: 0.1272, train_acc: 95.6, train_micro_fscore: 85.97, train_macro_fscore: 76.7, valid_loss: 0.2909, valid_acc: 91.28, valid_micro_fscore: 61.45, valid_macro_fscore: 48.06, test_loss: 0.5108, test_acc: 86.14, test_micro_fscore: 58.37, test_macro_fscore: 53.5, time: 50.73 sec
[2022-05-04 04:32:26,383][run.py][line:154][INFO] Epoch: 24, train_loss: 0.1264, train_acc: 95.61, train_micro_fscore: 85.97, train_macro_fscore: 77.14, valid_loss: 0.2874, valid_acc: 91.15, valid_micro_fscore: 61.25, valid_macro_fscore: 47.82, test_loss: 0.4993, test_acc: 86.1, test_micro_fscore: 58.29, test_macro_fscore: 52.98, time: 50.67 sec
[2022-05-04 04:33:16,314][run.py][line:154][INFO] Epoch: 25, train_loss: 0.1256, train_acc: 95.63, train_micro_fscore: 86.05, train_macro_fscore: 77.16, valid_loss: 0.2835, valid_acc: 91.18, valid_micro_fscore: 61.43, valid_macro_fscore: 47.37, test_loss: 0.4915, test_acc: 86.19, test_micro_fscore: 58.55, test_macro_fscore: 52.82, time: 49.93 sec
[2022-05-04 04:34:05,993][run.py][line:154][INFO] Epoch: 26, train_loss: 0.1261, train_acc: 95.62, train_micro_fscore: 86.05, train_macro_fscore: 77.66, valid_loss: 0.2908, valid_acc: 91.11, valid_micro_fscore: 61.21, valid_macro_fscore: 47.48, test_loss: 0.4993, test_acc: 86.03, test_micro_fscore: 58.26, test_macro_fscore: 53.02, time: 49.68 sec
[2022-05-04 04:34:54,888][run.py][line:154][INFO] Epoch: 27, train_loss: 0.125, train_acc: 95.65, train_micro_fscore: 86.07, train_macro_fscore: 77.42, valid_loss: 0.2833, valid_acc: 91.19, valid_micro_fscore: 61.09, valid_macro_fscore: 47.47, test_loss: 0.4947, test_acc: 86.32, test_micro_fscore: 58.62, test_macro_fscore: 53.38, time: 48.9 sec
[2022-05-04 04:35:45,213][run.py][line:154][INFO] Epoch: 28, train_loss: 0.1255, train_acc: 95.63, train_micro_fscore: 86.05, train_macro_fscore: 77.7, valid_loss: 0.2811, valid_acc: 91.19, valid_micro_fscore: 61.55, valid_macro_fscore: 47.56, test_loss: 0.486, test_acc: 86.07, test_micro_fscore: 58.32, test_macro_fscore: 53.45, time: 50.32 sec
[2022-05-04 04:36:34,988][run.py][line:154][INFO] Epoch: 29, train_loss: 0.1245, train_acc: 95.61, train_micro_fscore: 86.0, train_macro_fscore: 77.35, valid_loss: 0.2821, valid_acc: 91.09, valid_micro_fscore: 61.73, valid_macro_fscore: 48.16, test_loss: 0.4918, test_acc: 85.99, test_micro_fscore: 58.43, test_macro_fscore: 53.21, time: 49.77 sec
[2022-05-04 04:37:24,277][run.py][line:154][INFO] Epoch: 30, train_loss: 0.1244, train_acc: 95.69, train_micro_fscore: 86.22, train_macro_fscore: 77.64, valid_loss: 0.2806, valid_acc: 91.2, valid_micro_fscore: 61.65, valid_macro_fscore: 48.18, test_loss: 0.4962, test_acc: 86.1, test_micro_fscore: 58.28, test_macro_fscore: 52.68, time: 49.29 sec
[2022-05-04 04:38:12,739][run.py][line:154][INFO] Epoch: 31, train_loss: 0.124, train_acc: 95.68, train_micro_fscore: 86.28, train_macro_fscore: 78.02, valid_loss: 0.2875, valid_acc: 91.49, valid_micro_fscore: 60.83, valid_macro_fscore: 46.9, test_loss: 0.5256, test_acc: 86.47, test_micro_fscore: 57.33, test_macro_fscore: 52.64, time: 48.46 sec
[2022-05-04 04:39:03,177][run.py][line:154][INFO] Epoch: 32, train_loss: 0.1235, train_acc: 95.69, train_micro_fscore: 86.21, train_macro_fscore: 77.81, valid_loss: 0.284, valid_acc: 91.26, valid_micro_fscore: 60.97, valid_macro_fscore: 46.66, test_loss: 0.4975, test_acc: 86.36, test_micro_fscore: 58.25, test_macro_fscore: 52.91, time: 50.44 sec
[2022-05-04 04:39:55,078][run.py][line:154][INFO] Epoch: 33, train_loss: 0.1235, train_acc: 95.68, train_micro_fscore: 86.23, train_macro_fscore: 77.96, valid_loss: 0.288, valid_acc: 91.2, valid_micro_fscore: 61.33, valid_macro_fscore: 47.6, test_loss: 0.503, test_acc: 86.14, test_micro_fscore: 58.24, test_macro_fscore: 53.1, time: 51.9 sec
[2022-05-04 04:40:45,682][run.py][line:154][INFO] Epoch: 34, train_loss: 0.1223, train_acc: 95.69, train_micro_fscore: 86.25, train_macro_fscore: 77.61, valid_loss: 0.2817, valid_acc: 91.34, valid_micro_fscore: 61.52, valid_macro_fscore: 48.36, test_loss: 0.5019, test_acc: 86.14, test_micro_fscore: 57.87, test_macro_fscore: 53.26, time: 50.6 sec
[2022-05-04 04:41:35,754][run.py][line:154][INFO] Epoch: 35, train_loss: 0.1222, train_acc: 95.72, train_micro_fscore: 86.37, train_macro_fscore: 78.28, valid_loss: 0.2897, valid_acc: 91.46, valid_micro_fscore: 60.77, valid_macro_fscore: 47.2, test_loss: 0.5216, test_acc: 86.5, test_micro_fscore: 57.37, test_macro_fscore: 52.72, time: 50.07 sec
[2022-05-04 04:42:27,605][run.py][line:154][INFO] Epoch: 36, train_loss: 0.1225, train_acc: 95.72, train_micro_fscore: 86.33, train_macro_fscore: 78.28, valid_loss: 0.285, valid_acc: 91.4, valid_micro_fscore: 61.09, valid_macro_fscore: 47.61, test_loss: 0.5193, test_acc: 86.33, test_micro_fscore: 57.45, test_macro_fscore: 52.81, time: 51.85 sec
[2022-05-04 04:43:15,515][run.py][line:154][INFO] Epoch: 37, train_loss: 0.1224, train_acc: 95.68, train_micro_fscore: 86.23, train_macro_fscore: 77.73, valid_loss: 0.2808, valid_acc: 91.34, valid_micro_fscore: 61.15, valid_macro_fscore: 47.51, test_loss: 0.4992, test_acc: 86.27, test_micro_fscore: 57.9, test_macro_fscore: 52.36, time: 47.91 sec
[2022-05-04 04:44:03,103][run.py][line:154][INFO] Epoch: 38, train_loss: 0.1214, train_acc: 95.75, train_micro_fscore: 86.41, train_macro_fscore: 78.38, valid_loss: 0.2896, valid_acc: 91.35, valid_micro_fscore: 61.59, valid_macro_fscore: 48.21, test_loss: 0.5127, test_acc: 86.29, test_micro_fscore: 58.34, test_macro_fscore: 52.7, time: 47.59 sec
[2022-05-04 04:44:50,563][run.py][line:154][INFO] Epoch: 39, train_loss: 0.1223, train_acc: 95.72, train_micro_fscore: 86.38, train_macro_fscore: 78.33, valid_loss: 0.2832, valid_acc: 91.34, valid_micro_fscore: 61.73, valid_macro_fscore: 48.28, test_loss: 0.4988, test_acc: 86.14, test_micro_fscore: 57.91, test_macro_fscore: 52.87, time: 47.46 sec
[2022-05-04 04:45:40,977][run.py][line:154][INFO] Epoch: 40, train_loss: 0.1215, train_acc: 95.7, train_micro_fscore: 86.29, train_macro_fscore: 78.02, valid_loss: 0.2962, valid_acc: 91.03, valid_micro_fscore: 61.55, valid_macro_fscore: 48.47, test_loss: 0.5106, test_acc: 85.97, test_micro_fscore: 58.62, test_macro_fscore: 53.29, time: 50.41 sec
[2022-05-04 04:46:30,458][run.py][line:154][INFO] Epoch: 41, train_loss: 0.1208, train_acc: 95.71, train_micro_fscore: 86.28, train_macro_fscore: 78.46, valid_loss: 0.2857, valid_acc: 91.39, valid_micro_fscore: 60.85, valid_macro_fscore: 47.52, test_loss: 0.517, test_acc: 86.34, test_micro_fscore: 57.36, test_macro_fscore: 52.68, time: 49.48 sec
[2022-05-04 04:47:18,013][run.py][line:154][INFO] Epoch: 42, train_loss: 0.1209, train_acc: 95.8, train_micro_fscore: 86.6, train_macro_fscore: 78.44, valid_loss: 0.2869, valid_acc: 91.21, valid_micro_fscore: 61.6, valid_macro_fscore: 48.32, test_loss: 0.5041, test_acc: 86.14, test_micro_fscore: 58.21, test_macro_fscore: 52.83, time: 47.55 sec
[2022-05-04 04:48:06,323][run.py][line:154][INFO] Epoch: 43, train_loss: 0.1203, train_acc: 95.72, train_micro_fscore: 86.35, train_macro_fscore: 78.08, valid_loss: 0.2882, valid_acc: 90.94, valid_micro_fscore: 61.24, valid_macro_fscore: 48.81, test_loss: 0.502, test_acc: 85.85, test_micro_fscore: 58.23, test_macro_fscore: 52.76, time: 48.31 sec
[2022-05-04 04:48:57,749][run.py][line:154][INFO] Epoch: 44, train_loss: 0.1204, train_acc: 95.75, train_micro_fscore: 86.46, train_macro_fscore: 78.15, valid_loss: 0.2993, valid_acc: 91.1, valid_micro_fscore: 61.68, valid_macro_fscore: 47.95, test_loss: 0.5176, test_acc: 86.24, test_micro_fscore: 58.74, test_macro_fscore: 52.91, time: 51.43 sec
[2022-05-04 04:49:45,213][run.py][line:154][INFO] Epoch: 45, train_loss: 0.1202, train_acc: 95.75, train_micro_fscore: 86.39, train_macro_fscore: 77.81, valid_loss: 0.2875, valid_acc: 91.35, valid_micro_fscore: 61.0, valid_macro_fscore: 48.13, test_loss: 0.5175, test_acc: 86.27, test_micro_fscore: 57.36, test_macro_fscore: 52.73, time: 47.46 sec
[2022-05-04 04:50:32,272][run.py][line:154][INFO] Epoch: 46, train_loss: 0.1194, train_acc: 95.78, train_micro_fscore: 86.58, train_macro_fscore: 78.51, valid_loss: 0.2835, valid_acc: 91.24, valid_micro_fscore: 61.68, valid_macro_fscore: 48.34, test_loss: 0.5052, test_acc: 86.09, test_micro_fscore: 57.93, test_macro_fscore: 52.84, time: 47.06 sec
[2022-05-04 04:51:19,365][run.py][line:154][INFO] Epoch: 47, train_loss: 0.1194, train_acc: 95.77, train_micro_fscore: 86.51, train_macro_fscore: 78.69, valid_loss: 0.2875, valid_acc: 91.36, valid_micro_fscore: 61.5, valid_macro_fscore: 48.63, test_loss: 0.5122, test_acc: 85.99, test_micro_fscore: 57.18, test_macro_fscore: 52.63, time: 47.09 sec
[2022-05-04 04:52:10,618][run.py][line:154][INFO] Epoch: 48, train_loss: 0.1193, train_acc: 95.8, train_micro_fscore: 86.62, train_macro_fscore: 78.84, valid_loss: 0.2818, valid_acc: 91.35, valid_micro_fscore: 61.01, valid_macro_fscore: 47.87, test_loss: 0.5008, test_acc: 86.21, test_micro_fscore: 57.45, test_macro_fscore: 52.62, time: 51.25 sec
[2022-05-04 04:53:02,117][run.py][line:154][INFO] Epoch: 49, train_loss: 0.1182, train_acc: 95.78, train_micro_fscore: 86.58, train_macro_fscore: 79.16, valid_loss: 0.2835, valid_acc: 91.4, valid_micro_fscore: 61.76, valid_macro_fscore: 48.34, test_loss: 0.5115, test_acc: 86.25, test_micro_fscore: 57.94, test_macro_fscore: 53.17, time: 51.5 sec
[2022-05-04 04:53:53,216][run.py][line:154][INFO] Epoch: 50, train_loss: 0.1178, train_acc: 95.81, train_micro_fscore: 86.63, train_macro_fscore: 78.35, valid_loss: 0.2912, valid_acc: 91.37, valid_micro_fscore: 61.19, valid_macro_fscore: 47.88, test_loss: 0.525, test_acc: 86.4, test_micro_fscore: 57.76, test_macro_fscore: 52.5, time: 51.1 sec
[2022-05-04 04:53:53,216][run.py][line:180][INFO] finish training!
[2022-05-04 04:53:53,216][run.py][line:192][INFO] Best micro/macro F-Score based on validation:58.95/53.32
[2022-05-04 04:53:53,216][run.py][line:194][INFO] Best micro/macro F-Score based on test:59.17/53.39
